seccion,titulo,descripcion,enlace,fecha
general,The biggest remaining roster hole for every NFL te...,"Even after free agency, trades and the draft, NFL teams still have positions that need a boost. Here's one for every roster.",https://www.espn.com/nfl/story/_/id/48649984/2026-nfl-offseason-biggest-roster-holes-depth-needs-all-32-teams-postdraft,"Thu, 7 May 2026 10:30:33 EST"
general,Who is on the hot seat after the draft? 14 veteran...,Could Xavier Legette lose snaps to Chris Brazzell II in Carolina? Several veterans are on tenuous footing.,https://www.espn.com/nfl/story/_/id/48675818/2026-nfl-offseason-draft-veteran-hot-seats-position-battles-rookies,"Thu, 7 May 2026 10:30:33 EST"
general,Sources: Rodgers likely to play for Steelers in '2...,"Quarterback Aaron Rodgers is expected to visit the Steelers this weekend and is likely to play for them this season, sources told NFL Network's Ian Rapoport on Thursday.",https://www.espn.com/nfl/story/_/id/48703228/sources-rodgers-visit-steelers-likely-play-team-26,"Thu, 7 May 2026 11:28:08 EST"
general,Haslam wants Giannis' future settled before draft,Bucks co-owner Jimmy Haslam says he would like to have Giannis Antetokounmpo's future sorted out before next month's NBA draft.,https://www.espn.com/nba/story/_/id/48697585/bucks-co-owner-jimmy-haslam-wants-giannis-antetokounmpo-future-settled-nba-draft,"Thu, 7 May 2026 11:28:08 EST"
general,Finch: Wolves 'got punked' in 38-point blowout,"The Timberwolves, despite a warning from superstar Anthony Edwards, could not keep pace with the recharged Spurs in Wednesday night's Game 2.",https://www.espn.com/nba/story/_/id/48700497/wolves-fail-heed-edwards-warning-come-cool-rout,"Thu, 7 May 2026 11:28:08 EST"
general,Players Era Championships expands to 24 teams,"Players Era, the EverWonder Studio company behind the November tournament, and ESPN have reached a multiyear agreement for ESPN to serve as the exclusive broadcast partner for the Players Era Men's Championships. The event is also expanding to 24 teams.",https://www.espn.com/mens-college-basketball/story/_/id/48701991/players-era-men-championships-expanding-24-teams,"Thu, 7 May 2026 11:28:08 EST"
general,Sinner adds voice to French Open prize protests,"The top tennis players are already upset they are not receiving a bigger share of tournament revenues at the French Open. Now they're hoping Wimbledon and the US Open respond to their demands, according to Jannik Sinner.",https://www.espn.com/tennis/story/_/id/48702838/jannik-sinner-adds-voice-french-open-prize-money-protests,"Thu, 7 May 2026 11:28:08 EST"
general,"Brown: If up to me, I'd be in Boston long term","Jaylen Brown reaffirmed his happiness in Boston on Wednesday night, saying if it was up to him, he'd remain with the Celtics for the next 10 years.",https://www.espn.com/nba/story/_/id/48698552/jaylen-brown-play-boston-next-10-years,"Thu, 7 May 2026 11:28:08 EST"
general,Ducks flex unexpected defense to even series,"Anaheim, one of the weakest goal-prevention teams in the regular season, produced a rare defensive performance in its Game 2 win in Vegas on Wednesday night.",https://www.espn.com/nhl/story/_/id/48700369/ducks-pull-even-golden-knights-unexpected-defensive-gem,"Thu, 7 May 2026 11:28:08 EST"
general,"Spurs rebound, hand Wolves largest playoff defeat",De'Aaron Fox and Victor Wembanyama bounced back from shaky performances in the series opener to lead San Antonio to a 38-point blowout of Minnesota.,https://www.espn.com/nba/story/_/id/48700056/spurs-rebound-game-2-hand-timberwolves-their-worst-postseason-loss-franchise-history,"Thu, 7 May 2026 11:28:08 EST"
general,✍️ Knicks offer Timothée Chalamet contract in jest...,"The ""Marty Supreme"" star showcased his on-court skills, which caught the eye of the Knicks.",https://www.espn.com/nba/story/_/id/48694577/new-york-knicks-timothee-chalamet-karl-anthony-towns-anthony-edwards-10-day-contract-joke,"Thu, 7 May 2026 11:28:08 EST"
general,Copy of NBA playoff takeaways: Knicks take 2-0 lead over 7...,Here's what has stood out from the latest playoff games of the second round.,https://www.espn.com/nba/story/_/id/48676289/2026-nba-playoffs-conference-semifinals-round-2-takeaways,"Thu, 7 May 2026 11:13:43 EST"
general,"'Hidden Figures,' a Rubik's Cube and a champagne t...","Two dozen lawyers, staffers and players met over eight marathon days in March to finalize the new WNBA CBA.",https://www.espn.com/wnba/story/_/id/48688618/wnba-cba-2026-collective-bargaining-agreement-negotiations-meetings-how-deal-got-done,"Thu, 7 May 2026 10:24:28 EST"
general,"Power Rankings, playoff odds and everything to kno...",Where do all 15 teams open in our rankings? Can the Aces run it back? How good will the Fever be?,https://www.espn.com/wnba/story/_/id/48657250/2026-wnba-season-preview-preseason-power-rankings-predictions-bpi-opening-day-odds-playoffs,"Thu, 7 May 2026 10:24:28 EST"
general,Most likely picks for every NBA lottery team,"We have the odds, likely picks and best fits for prospects ahead of Sunday's NBA draft lottery.",https://www.espn.com/nba/story/_/id/48686847/2026-nba-draft-lottery-odds-every-team-potential-picks-wizards-pacers-nets-kings-grizzlies,"Thu, 7 May 2026 11:03:41 EST"
general,'We made the moves. We've done the talk': The duo ...,"Donovan Mitchell and James Harden are in a familiar position: down in the NBA playoffs. They know it's up to them to change their own narratives -- and the Cavaliers', too.",https://www.espn.com/nba/story/_/id/48693984/nba-playoffs-james-harden-donovan-mitchell-charged-turning-cleveland-cavaliers,"Thu, 7 May 2026 10:32:24 EST"
general,How a G League call-up helped Detroit restore orde...,The Pistons might not be in the Eastern Conference semifinals without Daniss Jenkins.,https://www.espn.com/nba/story/_/id/48695077/nba-playoffs-2026-east-semifinals-daniss-jenkins-path-pistons-cavaliers,"Thu, 7 May 2026 10:32:24 EST"
general,Stanley Cup playoffs daily: Can the Flyers come ba...,"The series against the Canes shifts to Philly. Plus, highlights and key plays from Wednesday's games.",https://www.espn.com/nhl/story/_/id/48526483/2026-nhl-playoffs-stanley-cup-preview-stats-schedule-top-players-bracket-matchups,"Thu, 7 May 2026 10:52:52 EST"
general,Preview: Tongan Death Grips and the Gingerbread Ma...,"Before Saturday's PLE, Greg Wyshynski gets you caught up on everything you've missed since WrestleMania 42.",https://www.espn.com/wwe/story/_/id/48697426/wwe-backlash-preview-roman-reigns-jacob-fatu-john-cena-danhausen,"Thu, 7 May 2026 10:35:58 EST"
general,Fans question whether World Cup is worth the hassle,"Ticket prices, transit fees and exorbitant hotel rates combine to dampen stadium-goers' exuberance",https://www.espn.com/soccer/worldcup/story/_/id/48686530/world-cup-hassles-expenses,"Thu, 7 May 2026 07:02:02 EST"
general,Champions League final: PSG vs. Arsenal prediction...,"And then there were two, as Arsenal will face PSG in the UEFA Champions League final. Let's look at how they got here, and which one will win it all on May 30.",https://www.espn.com/soccer/story/_/id/48702097/champions-league-final-psg-arsenal-predictions-odds-analysis-more,"Thu, 7 May 2026 11:02:03 EST"
general,UCL talking points: Gyökeres' best game propels Ar...,"Julien Laurens, Sam Marsden, Gab Marcotti and Sam Tighe weigh in on the semifinals and predict the final.",https://www.espn.com/soccer/story/_/id/48696279/ucl-talking-points-gyokeres-best-game-propels-arsenal-beat-psg,"Thu, 7 May 2026 11:02:51 EST"
