seccion,titulo,descripcion,enlace,fecha
general,Takeaways from Thunder-Lakers Game 4,Here's what we've learned -- and what's next for the Cavs-Pistons and the Wolves-Spurs series.,https://www.espn.com/nba/story/_/id/48676289/2026-nba-playoffs-conference-semifinals-round-2-takeaways,"Tue, 12 May 2026 02:05:06 EST"
general,LeBron: 'I don't know what the future holds',"LeBron James, whose record-setting 23rd season ended with an unceremonious 115-110 loss to the Thunder in Game 4 of a second-round sweep of the Lakers, was noncommittal about whether he will continue playing in L.A. -- or elsewhere.",https://www.espn.com/nba/story/_/id/48747842/lakers-lebron-james-know-future-holds-me,"Tue, 12 May 2026 07:00:09 EST"
general,OKC escapes late L.A. charge to complete sweep,"The Lakers refused to fold while facing elimination, but the Thunder ultimately pulled away to improve to 8-0 this postseason.",https://www.espn.com/nba/story/_/id/48747206/thunder-escape-late-lakers-charge-complete-sweep,"Tue, 12 May 2026 07:00:09 EST"
general,Bickerstaff calls FT disparity in loss 'unacceptab...,"Pistons coach J.B. Bickerstaff called the gulf in attempted free throws between his team and the Cavaliers in Monday's Game 4 loss ""unacceptable.""",https://www.espn.com/nba/story/_/id/48747058/bickerstaff-calls-ft-disparity-game-4-loss-unacceptable,"Tue, 12 May 2026 07:00:09 EST"
general,Mitchell's record-tying 2nd half evens East semis,"Donovan Mitchell tied an NBA playoff record with 39 points in the second half, and the Cavaliers evened their second-round series against the Pistons with a 112-103 victory Monday night.",https://www.espn.com/nba/story/_/id/48746487/donovan-mitchell-ties-nba-playoff-record-39-points-second-half-cavaliers-even-series-vs-pistons,"Tue, 12 May 2026 07:00:09 EST"
general,Kiffin: LSU's 'diversity' recruiting edge vs. Rebe...,"LSU coach Lane Kiffin implied the lack of diversity at Ole Miss hurt his ability to recruit players, saying parents have told him Baton Rouge feels more reflective of the ""real world.""",https://www.espn.com/college-football/story/_/id/48744747/kiffin-lsu-diversity-recruitment-advantage-vs-ole-miss,"Tue, 12 May 2026 07:00:09 EST"
general,Wild's McCarron labels Avs' Manson 'a dirty player...,Avalanche defenseman Josh Manson returned from a five-game absence Monday night in Game 4 and took a double minor penalty for hitting Wild center Michael McCarron with the blunt end of his stick during a scrum midway through the first period.,https://www.espn.com/nhl/story/_/id/48747287/wild-michael-mccarron-calls-avalanche-josh-manson-dirty-player-butt-ending-face,"Tue, 12 May 2026 07:00:09 EST"
general,Sources: Struggling Mets call up prospect Ewing,"The Mets are calling up their No. 2 prospect, outfielder A.J. Ewing, in hopes of sparking a struggling offense.",https://www.espn.com/mlb/story/_/id/48746188/sources-struggling-mets-call-prospect-aj-ewing,"Tue, 12 May 2026 07:00:09 EST"
general,Bills to open new stadium in Week 2 vs. Lions,"The Bills will play their first regular-season game at their new home, the newly constructed Highmark Stadium, in Week 2 against the Lions, it was announced Monday.",https://www.espn.com/nfl/story/_/id/48744949/bills-play-first-regular-season-game-new-stadium-week-2,"Tue, 12 May 2026 07:00:09 EST"
general,"⚾ MLB free agency: Skubal status, top hitter, more...",We polled those around the industry about the most intriguing topics surrounding this upcoming offseason.,https://www.espn.com/mlb/story/_/id/48733848/mlb-2026-27-free-agency-offseason-questions-market-skubal-lockout-top-free-agent,"Tue, 12 May 2026 07:00:09 EST"
general,"The French Connection: Gobert, Wemby put their friendship on hold for the playoffs",The French big men have been friends for a decade and now face off against each other in a 2-2 series.,https://www.espn.com/nba/story/_/id/48742665/rivalry-friendship-rudy-gobert-victor-wembanyama-spurs-timberwolves-playoffs,"Tue, 12 May 2026 07:07:48 EST"
general,"Lucky socks, a fishhook and pickup hoops: How the ...",ESPN was granted behind-the-scenes access to Washington on the day the franchise secured the No. 1 pick of the 2026 NBA draft.,https://www.espn.com/nba/story/_/id/48742366/washington-wizards-nba-lottery-draft-2026-first-overall-pick-aj-dybantsa,"Tue, 12 May 2026 08:05:27 EST"
general,Windhorst: Everything I saw inside the NBA's myste...,Here's everything that transpired as the ping-pong balls were selected.,https://www.espn.com/nba/story/_/id/48737761/inside-secret-nba-lottery-room-ahead-2026-draft-picks-rounds-jokes-silence-ping-pong-balls,"Tue, 12 May 2026 08:05:26 EST"
general,"Wait, why didn't my NFL team ____? Reasonable answ...","Let's make sense of the Cowboys not extending George Pickens, the Steelers bypassing QB upgrades, the Dolphins not trading De'Von Achane and more.",https://www.espn.com/nfl/story/_/id/48742512/2026-nfl-offseason-10-teams-questions-explaining-missed-moves,"Tue, 12 May 2026 07:14:23 EST"
general,Three questions facing Lamar Jackson and the Raven...,"Heading into next week's organized team activities, the Ravens have some major questions to address.",https://www.espn.com/nfl/story/_/id/48741815/questions-facing-lamar-jackson-baltimore-ravens-ravens-center-tyler-linderbaum-nnamdi-madubuike,"Tue, 12 May 2026 07:14:23 EST"
general,Rich Rodriguez Q&A: The secret sauce at West Virgi...,"At his second go-around in Morgantown, Rodriguez notes how much has changed and what's stayed the same.",https://www.espn.com/college-football/story/_/id/48679548/west-virginia-rich-rodriguez-qa-college-football,"Tue, 12 May 2026 07:08:21 EST"
general,"CFB buzz: Army-Navy's future, last JMU Hoosier, la...",What we heard around college football after the completion of spring practice.,https://www.espn.com/college-football/story/_/id/48695281/college-football-spring-buzz-week-0-cfp-ohio-state-notre-dame-army-navy,"Tue, 12 May 2026 07:08:21 EST"
